team_id,setting,n_employees,evaluated_complete_policies,unique_feasible_policies,frontier_size,cost_to_6_0_6_0,cost_to_6_5_6_5,cost_to_7_0_7_0,cost_to_perf_7,cost_to_sat_7,candidate_upper_bound,visited_nodes,pruned_nodes,pruned_pct,frontier_max_cost,frontier_max_performance,frontier_max_job_satisfaction,runtime_seconds
6120,design,1,4.0,4.0,4,108.0,110.0,,,,11.0,12.0,7.0,0.5833333333333334,110.0,6.916666666666667,6.5566666666666675,13.802567299921066
6130,design,2,5.0,5.0,5,75.0,112.0,,141.0,,98.0,86.0,74.0,0.8604651162790697,141.0,7.0,6.731999999999999,9.481548399664462
6140,design,1,6.0,6.0,6,108.0,110.0,,118.0,,16.0,17.0,10.0,0.5882352941176471,118.0,7.0,6.5566666666666675,18.517660699784756
6150,design,3,15.0,15.0,13,110.0,112.0,142.0,120.0,142.0,2925.0,236.0,203.0,0.8601694915254238,142.0,7.0,7.0,66.09875959996134
6160,design,3,7.0,7.0,7,108.0,110.0,,118.0,,3825.0,224.0,202.0,0.9017857142857143,118.0,7.0,6.704444444444445,18.750112399924546
6170,design,3,8.0,8.0,6,75.0,112.0,142.0,142.0,142.0,2912.0,198.0,175.0,0.8838383838383839,142.0,7.0,7.0,61.458596100099385
6180,design,3,15.0,15.0,10,112.0,,,120.0,,1872.0,219.0,186.0,0.8493150684931506,124.0,7.0,6.741111111111111,75.78595780022442
6190,design,2,5.0,5.0,5,75.0,112.0,,75.0,,104.0,71.0,60.0,0.8450704225352113,141.0,7.0,6.731999999999999,10.157698300201446
6210,design,3,4.0,4.0,4,75.0,112.0,,75.0,,1440.0,149.0,133.0,0.8926174496644296,141.0,7.0,6.777777777777778,11.140902299899608
6220,design,3,16.0,16.0,12,75.0,110.0,,142.0,,3179.0,429.0,382.0,0.8904428904428905,142.0,7.0,6.852222222222223,74.86907050013542
6230,design,2,6.0,6.0,6,108.0,110.0,118.0,118.0,118.0,240.0,118.0,104.0,0.8813559322033898,118.0,7.0,7.0,17.29460859997198
6240,design,2,17.0,17.0,15,108.0,117.0,142.0,120.0,142.0,221.0,150.0,122.0,0.8133333333333334,142.0,7.0,7.0,96.39200699981302
7010,design,3,3.0,3.0,3,75.0,112.0,,141.0,,1344.0,130.0,116.0,0.8923076923076924,141.0,7.0,6.777777777777778,12.428690399974585
7020,design,3,14.0,14.0,14,85.0,108.0,,142.0,,990.0,135.0,109.0,0.8074074074074075,142.0,7.0,6.852222222222223,61.458379899617285
7040,design,3,19.0,19.0,16,85.0,110.0,,173.0,,2640.0,438.0,384.0,0.8767123287671232,173.0,7.0,6.853333333333334,75.11776009993628
7050,design,3,14.0,14.0,13,85.0,112.0,,120.0,117.0,1372.0,177.0,148.0,0.8361581920903954,142.0,7.0,7.0,70.52987969992682
7060,design,3,16.0,16.0,15,112.0,112.0,,120.0,,3360.0,390.0,342.0,0.8769230769230769,142.0,7.0,6.704444444444445,109.08295670012012
7080,design,1,6.0,6.0,6,108.0,110.0,,118.0,,16.0,17.0,10.0,0.5882352941176471,118.0,7.0,6.5566666666666675,18.512932499870658
7100,design,3,15.0,15.0,15,110.0,112.0,,173.0,,2304.0,184.0,154.0,0.8369565217391305,173.0,7.0,6.926666666666667,67.22788919974118
7120,design,2,7.0,7.0,7,108.0,110.0,,118.0,,255.0,125.0,110.0,0.88,118.0,7.0,6.778333333333334,17.60409849975258
7130,design,1,7.0,7.0,7,108.0,110.0,,113.0,,17.0,18.0,10.0,0.5555555555555556,132.0,7.0,6.78,18.360532599966973
7160,design,1,3.0,3.0,3,75.0,75.0,112.0,112.0,112.0,11.0,12.0,8.0,0.6666666666666666,112.0,7.0,7.0,6.626092799939215
7180,design,3,13.0,13.0,12,110.0,118.0,,142.0,,3060.0,342.0,303.0,0.8859649122807017,142.0,7.0,6.852222222222223,82.4178742999211
7200,design,1,6.0,6.0,6,108.0,110.0,,118.0,,15.0,16.0,9.0,0.5625,132.0,7.0,6.78,17.321743399836123
7210,design,2,4.0,4.0,4,75.0,,,141.0,,88.0,61.0,51.0,0.8360655737704918,141.0,7.0,6.776666666666667,11.812723100185394
7220,design,2,4.0,4.0,4,75.0,75.0,,141.0,,104.0,59.0,50.0,0.847457627118644,141.0,7.0,6.75,11.50720589980483
7260,design,2,3.0,3.0,3,75.0,112.0,112.0,75.0,112.0,196.0,67.0,59.0,0.8805970149253731,112.0,7.0,7.0,7.6257666000165045
7270,design,3,17.0,17.0,10,108.0,112.0,,,,1694.0,289.0,244.0,0.8442906574394463,133.0,6.951388888888889,6.7775,60.843753200024366
7290,design,1,6.0,6.0,6,110.0,,,,,11.0,12.0,5.0,0.4166666666666667,113.0,6.75,6.333333333333333,11.353366899769753
7300,design,1,6.0,6.0,6,108.0,110.0,,118.0,,16.0,17.0,10.0,0.5882352941176471,132.0,7.0,6.78,17.264274300076067
7310,design,3,4.0,4.0,4,75.0,112.0,112.0,112.0,112.0,924.0,92.0,80.0,0.8695652173913043,112.0,7.0,7.0,10.347081100102514
7510,design,1,2.0,2.0,2,75.0,112.0,112.0,112.0,112.0,11.0,12.0,9.0,0.75,112.0,7.0,7.0,6.889424299821258
7530,design,1,7.0,7.0,7,108.0,110.0,,113.0,,15.0,16.0,8.0,0.5,132.0,7.0,6.78,17.472255400381982
7540,design,1,5.0,5.0,5,108.0,110.0,,118.0,,15.0,16.0,10.0,0.625,118.0,7.0,6.5566666666666675,17.213143900036812
7550,design,1,5.0,5.0,5,108.0,110.0,,118.0,,15.0,16.0,10.0,0.625,118.0,7.0,6.5566666666666675,15.729097600094974
7560,design,2,12.0,12.0,11,85.0,112.0,,118.0,117.0,84.0,66.0,48.0,0.7272727272727273,147.0,7.0,7.0,42.818045899737626
7570,design,1,3.0,3.0,3,75.0,112.0,112.0,75.0,112.0,13.0,14.0,10.0,0.7142857142857143,112.0,7.0,7.0,6.493658999912441
7600,design,1,6.0,6.0,6,108.0,110.0,,113.0,,17.0,18.0,11.0,0.6111111111111112,132.0,7.0,6.78,18.441633299924433
7610,design,2,11.0,11.0,11,112.0,112.0,,120.0,,180.0,96.0,77.0,0.8020833333333334,130.0,7.0,6.778333333333334,55.5059047001414
7690,design,2,12.0,12.0,11,110.0,116.0,,120.0,,195.0,120.0,98.0,0.8166666666666667,124.0,7.0,6.834999999999999,74.22871469985694
7720,design,1,3.0,3.0,3,75.0,112.0,112.0,75.0,112.0,12.0,13.0,9.0,0.6923076923076923,112.0,7.0,7.0,7.251975100021809
7730,design,1,2.0,2.0,2,75.0,112.0,112.0,75.0,112.0,14.0,15.0,12.0,0.8,112.0,7.0,7.0,9.844536799937487
7740,design,1,7.0,7.0,7,108.0,110.0,,118.0,,16.0,17.0,9.0,0.5294117647058824,132.0,7.0,6.78,18.306029499974102
7750,design,2,14.0,14.0,14,108.0,112.0,,173.0,117.0,130.0,95.0,72.0,0.7578947368421053,176.0,7.0,7.0,50.63992389990017
7800,design,2,4.0,4.0,4,75.0,,,141.0,,88.0,61.0,51.0,0.8360655737704918,141.0,7.0,6.776666666666667,10.713883599732071
7820,design,1,6.0,6.0,6,108.0,113.0,,113.0,108.0,13.0,14.0,7.0,0.5,132.0,7.0,7.0,13.190019000321627
7830,design,2,20.0,20.0,18,75.0,117.0,,173.0,,165.0,119.0,89.0,0.7478991596638656,176.0,7.0,6.765000000000001,67.2304016998969
8020,design,1,6.0,6.0,6,108.0,110.0,,118.0,,17.0,18.0,11.0,0.6111111111111112,118.0,7.0,6.5566666666666675,18.65520460018888
8030,design,2,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,156.0,50.0,43.0,0.86,112.0,7.0,7.0,9.956777000334114
8050,design,3,20.0,20.0,17,108.0,118.0,,,117.0,2366.0,488.0,422.0,0.8647540983606558,147.0,6.9444444444444455,7.0,87.93145579984412
8060,design,3,10.0,10.0,10,85.0,108.0,118.0,118.0,118.0,576.0,68.0,51.0,0.75,118.0,7.0,7.0,41.51514449995011
8090,design,2,3.0,3.0,3,75.0,112.0,112.0,75.0,112.0,195.0,69.0,61.0,0.8840579710144928,112.0,7.0,7.0,7.638869400136173
8130,design,1,6.0,6.0,6,108.0,110.0,,113.0,,15.0,16.0,9.0,0.5625,132.0,7.0,6.78,17.361593100242317
8260,design,2,10.0,10.0,10,108.0,110.0,118.0,118.0,118.0,120.0,49.0,35.0,0.7142857142857143,118.0,7.0,7.0,39.21320619992912
8510,design,3,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,1452.0,98.0,86.0,0.8775510204081632,112.0,7.0,7.0,7.901733600068837
8520,design,1,6.0,6.0,6,108.0,110.0,,118.0,,15.0,16.0,9.0,0.5625,118.0,7.0,6.5566666666666675,17.169737599790096
8540,design,2,14.0,14.0,14,85.0,110.0,142.0,142.0,142.0,187.0,124.0,101.0,0.8145161290322581,142.0,7.0,7.0,79.97445870004594
8550,design,1,5.0,5.0,5,108.0,110.0,,118.0,,16.0,17.0,11.0,0.6470588235294118,118.0,7.0,6.5566666666666675,17.029512399807572
